Date,Open,High,Low,Close,Volume,Adj Close
20140430  02:00:00,1522.5,1522.5,1522.0,1522.0,54,1522.125
20140430  03:00:00,1523.75,1524.25,1523.25,1523.25,61,1524.025
20140430  04:00:00,1522.25,1522.25,1522.25,1522.25,1,1522.25
20140430  05:00:00,1522.5,1523.5,1520.5,1521.25,155,1521.7
20140430  06:30:00,1521.25,1526.5,1517.25,1519.0,825,1521.425
20140430  07:00:00,1518.75,1523.0,1516.0,1518.0,585,1519.1
20140430  08:00:00,1518.0,1522.5,1518.0,1520.5,250,1520.225
20140430  09:00:00,1520.0,1525.0,1519.0,1523.5,157,1522.425
20140430  10:00:00,1523.5,1527.25,1523.0,1526.75,146,1525.1
20140430  11:00:00,1526.75,1532.0,1526.75,1528.75,492,1529.825
20140430  17:00:00,1528.0,1529.75,1528.0,1528.0,31,1528.225
20140430  18:00:00,1528.0,1528.0,1528.0,1528.0,0,1528.0
20140430  19:00:00,1526.25,1526.5,1525.25,1525.25,17,1526.275
20140430  20:00:00,1525.25,1525.25,1525.25,1525.25,0,1525.25
20140430  21:00:00,1525.25,1525.25,1525.25,1525.25,0,1525.25
20140430  22:00:00,1525.25,1525.25,1525.25,1525.25,0,1525.25
20140430  23:00:00,1525.5,1525.5,1525.5,1525.5,2,1525.5
20140501  00:00:00,1525.5,1525.5,1525.5,1525.5,0,1525.5
20140501  01:00:00,1524.5,1524.5,1522.25,1522.25,3,1523.325
20140501  02:00:00,1522.25,1522.25,1522.25,1522.25,0,1522.25
20140501  03:00:00,1522.0,1522.0,1520.25,1520.25,7,1521.0
20140501  04:00:00,1520.5,1521.5,1520.5,1521.0,22,1521.025
20140501  05:00:00,1521.75,1522.5,1517.5,1518.0,45,1519.75
20140501  06:30:00,1518.0,1519.0,1503.5,1508.25,533,1511.15
20140501  07:00:00,1506.5,1507.0,1499.25,1499.25,438,1502.25
20140501  08:00:00,1501.0,1502.5,1491.0,1493.25,298,1495.85
20140501  09:00:00,1493.0,1493.5,1488.25,1489.0,170,1490.9
20140501  10:00:00,1489.0,1489.25,1475.25,1475.5,353,1481.825
20140501  11:00:00,1477.0,1477.25,1472.5,1474.0,135,1474.25
20140501  17:00:00,1475.75,1476.5,1468.0,1471.25,19,1471.425
20140501  18:00:00,1466.0,1468.0,1465.0,1468.0,33,1466.8
20140501  19:00:00,1470.5,1470.5,1470.25,1470.25,45,1470.5
20140501  20:00:00,1470.5,1470.5,1470.25,1470.5,17,1470.475
